15683
I||
IJIJ|8738,10926,955|3,4;1,3,5;3,5;1,2,5
IJIJ|17476,18023,3310|2,0;3,5;3,5,3,3,5;2,0,5
IJIJ|34952,35499,3310|2;2,4;2,5;2,0,5
IJIJ|34952,36046,2525|2;3;2,5;2,5
IJIL|4369,5939,2491|3;2,5;2,5;1,3,5
IJIL|4369,7509,887|3;2,5,1;3,5;3,1,5
IJIL|8738,11878,887|3,4;1,2,5;3,5;3,1,5
IJIL|17476,18261,3293|2,0;2,5,0,5;2,5;3,5
IJIL|34952,35737,3293|2;2;2,5;3,5
IJIL|34952,36522,2491|2;2,1;3,5;1,3,5
IJJI|4369,5463,30583|3;3,5;2,5;2,5
IJJI|4369,6557,56797|3;1,5,3;1,5,2,5;3,5
IJJI|8738,10926,61166|3,4;1,3,5;1,2,5;3,5
IJJI|17476,18023,30583|2,0;3,5;2,0,5;2,5
IJJI|34952,35499,48059|2;2,4;2,5;2,5
IJJI|34952,36046,61166|2;3;2,5;3,5
IJJO|4369,275,51|3;1,5;1,5;1,5
IJJO|4369,275,153|3;1,5;1,5,3;
IJJO|4369,281,153|3;1,5,4;1,5,4;
IJJO|4369,5939,51|3;2,5;1,5,4;1,5
IJJO|34952,2185,153|2;;;
IJJO|34952,2185,204|2;;3;0,5
IJJO|34952,2188,204|2;4;4;0,5
IJJO|34952,35737,153|2;2;4;
IJJS|4369,281,57|3;1,5,4;1,5;4
IJJS|34952,2188,156|2;4;;1,5,4
IJJT|4369,275,27|3;1,5;1,5,4;1,5,4
IJJT|4369,6557,27|3;1,5,3;2,5;1,5,4
IJJT|34952,2185,141|2;;4;4
IJJT|34952,35737,141|2;2;3,4,5,4,5;4
IJJT|34952,36046,141|2;3;2,5,0,5;4
IJJZ|34952,2188,2973|2;4;2,0;1,2,4
IJLO|4369,275,51|3;1,5;4,5;1,5
IJLO|4369,281,51|3;1,5,4;2,5;1,5
IJLO|4369,281,153|3;1,5,4;1,5;
IJLO|34952,2185,153|2;;4;
IJLO|34952,2188,153|2;4;2;
IJLO|34952,2188,204|2;4;;0,5
IJLS|4369,275,3483|3;1,5;1,5,3,1;3,4
IJLT|4369,281,27|3;1,5,4;4,5;1,5,4
IJLT|34952,2188,141|2;4;4;4
IJLZ|4369,275,147|3;1,5;1,5;4
IJLZ|4369,6557,2973|3;1,5,3;4,5;1,2,4
IJLZ|34952,2185,201|2;;;1,4
IJLZ|34952,36046,3534|2;3;4;2,4
IJOJ|4369,281,23|3;1,5,4;;1,5,4
IJOJ|34952,2188,139|2;4;0,5;4
IJOL|4369,275,29|3;1,5;1,5;4,5
IJOL|4369,6557,29|3;1,5,3;;4,5
IJOL|34952,2185,142|2;;;4
IJOL|34952,36046,142|2;3;0,5;4
IJSL|4369,275,887|3;1,5;2,5;3,1,5
IJSL|4369,281,29|3;1,5,4;1,5,4;4,5
IJSL|34952,2185,2491|2;;3;1,3,5
IJSL|34952,2188,142|2;4;4;4
IJTJ|4369,275,23|3;1,5;1,5,4;1,5,4
IJTJ|34952,2185,139|2;;4;4
IJTL|4369,281,29|3;1,5,4;1,5,4;4,5
IJTL|34952,2188,142|2;4;4;4
IJTT|4369,6557,27|3;1,5,3;2,5;1,5,4
IJTT|34952,36046,141|2;3;2,0,5;4
IJZJ|4369,275,23|3;1,5;1,5,4;1,5,4
IJZJ|4369,281,2525|3;1,5,4;3,5,1;2,5
IJZJ|34952,2185,139|2;;4;4
IJZJ|34952,2188,3310|2;4;2;2,0,5
IJZL|4369,6557,29|3;1,5,3;2,5;4,5
IJZL|34952,36046,142|2;3;3,5;4
ILIJ|4369,5973,2525|3;4,5,2;2,5;2,5
ILIJ|4369,7577,955|3;1,5,3;3,5;1,2,5
ILIJ|8738,11946,955|3,4;3,5,1,5;3,5;1,2,5
ILIJ|17476,18278,3310|2,0;3,5;2,5;2,0,5
ILIJ|34952,35754,3310|2;2,4;2,5;2,0,5
ILIJ|34952,36556,2525|2;3;3,5;2,5
ILIL|4369,4919,2491|3;2,5;3,5;1,3,5
ILIL|4369,5469,887|3;2,5,1;3,5;3,1,5
ILIL|8738,9838,887|3,4;1,2,5;3,5;3,1,5
ILIL|17476,17751,3293|2,0;2,5;2,5;3,5
ILIL|34952,35227,3293|2;2;2,5;3,5
ILIL|34952,35502,2491|2;2,1;3,5;1,3,5
ILJO|4369,275,51|3;4,5;1,5;1,5
ILJO|4369,275,153|3;4,5;1,5,3;
ILJO|4369,281,153|3;1,5;1,5,4;
ILJO|34952,2185,153|2;4;;
ILJO|34952,2185,204|2;4;3;0,5
ILJO|34952,2188,204|2;;4;0,5
ILJS|4369,281,57|3;1,5;1,5;4
ILJS|4369,4919,2871|3;2,5;1,5,4;3,4
ILJS|34952,2188,156|2;;;1,5,4
ILJS|34952,35227,3483|2;2;4;3,4
ILJT|4369,275,27|3;4,5;1,5,4;1,5,4
ILJT|34952,2185,141|2;4;4;4
ILJZ|34952,2188,2973|2;;2,0;1,2,4
ILLI|4369,4919,30583|3;2,5;1,5,3,5;2,5
ILLI|4369,5469,56797|3;2,5,1;1,5,3,5;3,5
ILLI|8738,9838,61166|3,4;1,2,5;3,1,5;3,5
ILLI|17476,17751,30583|2,0;2,5;3,5;2,5
ILLI|34952,35227,48059|2;2;3,5;2,5
ILLI|34952,35502,61166|2;2,1;3,5;3,5
ILLO|4369,275,51|3;4,5;4,5;1,5
ILLO|4369,281,51|3;1,5;2,5;1,5
ILLO|4369,281,153|3;1,5;1,5;
ILLO|4369,7577,153|3;1,5,3;4,5;
ILLO|34952,2185,153|2;4;4;
ILLO|34952,2188,153|2;;2;
ILLO|34952,2188,204|2;;;0,5
ILLO|34952,36556,204|2;3;4;0,5
ILLS|4369,275,3483|3;4,5;1,5,3,1;3,4
ILLT|4369,281,27|3;1,5;4,5;1,5,4
ILLT|4369,4919,27|3;2,5;1,5,3,5,1,5;1,5,4
ILLT|4369,7577,27|3;1,5,3;3,5,4,5;1,5,4
ILLT|34952,2188,141|2;;4;4
ILLT|34952,35227,141|2;2;3,5,1,5;4
ILLZ|4369,275,147|3;4,5;1,5;4
ILLZ|34952,2185,201|2;4;;1,4
ILOJ|4369,281,23|3;1,5;;1,5,4
ILOJ|4369,4919,23|3;2,5;1,5;1,5,4
ILOJ|34952,2188,139|2;;0,5;4
ILOJ|34952,35227,139|2;2;;4
ILOL|4369,275,29|3;4,5;1,5;4,5
ILOL|34952,2185,142|2;4;;4
ILSJ|4369,4919,23|3;2,5;1,5,2,5;1,5,4
ILSJ|34952,35227,139|2;2;2,5;4
ILSL|4369,275,887|3;4,5;2,5;3,1,5
ILSL|4369,281,29|3;1,5;1,5,4;4,5
ILSL|34952,2185,2491|2;4;3;1,3,5
ILSL|34952,2188,142|2;;4;4
ILTJ|4369,275,23|3;4,5;1,5,4;1,5,4
ILTJ|34952,2185,139|2;4;4;4
ILTL|4369,281,29|3;1,5;1,5,4;4,5
ILTL|34952,2188,142|2;;4;4
ILTT|4369,4919,27|3;2,5;1,5,3,1,5;1,5,4
ILTT|34952,35227,141|2;2;3,1,5;4
ILZJ|4369,275,23|3;4,5;1,5,4;1,5,4
ILZJ|4369,281,2525|3;1,5;3,5,1;2,5
ILZJ|34952,2185,139|2;4;4;4
ILZJ|34952,2188,3310|2;;2;2,0,5
IOIO|4369,4471,153|3;;2,1,5;
IOIO|4369,4573,51|3;1;3,5;1,5
IOIO|8738,8942,51|3,4;1,5;3,5;1,5
IOIO|17476,17527,204|2,0;0,5;3,4,1,5;0,5
IOIO|34952,35003,204|2;0;2,5;0,5
IOIO|34952,35054,153|2;;3,0,5;
IOJJ|4369,4471,23|3;;1,5,4;1,5,4
IOJJ|4369,4573,23|3;1;2,5;1,5,4
IOJJ|4369,4573,2525|3;1;1,5,4;2,5
IOJJ|34952,35003,139|2;0;4;4
IOJJ|34952,35054,139|2;;2,5;4
IOJJ|34952,35054,3310|2;;4;2,0,5
IOJL|4369,4471,887|3;;1,5;3,1,5
IOJL|34952,35003,2491|2;0;;1,3,5
IOLJ|4369,4573,2525|3;1;1,5;2,5
IOLJ|34952,35054,3310|2;;;2,0,5
IOLL|4369,4471,29|3;;1,5,3,5;4,5
IOLL|4369,4471,887|3;;4,5;3,1,5
IOLL|4369,4573,29|3;1;4,5;4,5
IOLL|34952,35003,142|2;0;3,5;4
IOLL|34952,35003,2491|2;0;4;1,3,5
IOLL|34952,35054,142|2;;4;4
IOOI|4369,4471,30583|3;;;2,5
IOOI|4369,4573,56797|3;1;1;3,5
IOOI|8738,8942,61166|3,4;1,5;1,5;3,5
IOOI|17476,17527,30583|2,0;0,5;0,5;2,5
IOOI|34952,35003,48059|2;0;0;2,5
